F_Code,Text
F25,"Schizoaffektive Störungen Episodische Störungen, bei denen sowohl affektive als auch schizophrene Symptome auftreten, aber die weder die Kriterien für Schizophrenie noch für eine depressive oder manische Episode erfüllen. Andere Zustandsbilder, bei denen affektive Symptome eine vorher bestehende Schizophrenie überlagern, oder bei denen sie mit anderen anhaltenden Wahnkrankheiten gemeinsam auftreten oder alternieren, sind unter F20-F29 zu kodieren. Parathyme psychotische Symptome bei affektiven Störungen rechtfertigen die Diagnose einer schizoaffektiven Störung nicht. Schizoaffektive Störung, gegenwärtig manisch Eine Störung, bei der sowohl schizophrene als auch manische Symptome vorliegen und deshalb weder die Diagnose einer Schizophrenie noch einer manischen Episode gerechtfertigt ist. Diese Kategorie ist sowohl für einzelne Episoden als auch für rezidivierende Störungen zu verwenden, bei denen die Mehrzahl der Episoden schizomanisch ist. Schizoaffektive Psychose, manischer Typ Schizophreniforme Psychose, manischer Typ Schizoaffektive Störung, gegenwärtig depressiv Eine Störung, bei der sowohl schizophrene als auch depressive Symptome vorliegen und deshalb weder die Diagnose einer Schizophrenie noch einer depressiven Episode gerechtfertigt ist. Diese Kategorie ist sowohl für einzelne Episoden als auch für rezidivierende Störungen zu verwenden, bei denen die Mehrzahl der Episoden schizodepressiv ist. Schizoaffektive Psychose, depressiver Typ Schizophreniforme Psychose, depressiver Typ Gemischte schizoaffektive Störung Gemischte schizophrene und affektive Psychose Zyklische Schizophrenie Sonstige schizoaffektive Störungen Schizoaffektive Störung, nicht näher bezeichnet Schizoaffektive Psychose o.n.A."
F28,"Sonstige nichtorganische psychotische Störungen Hier sind wahnhafte oder halluzinatorische Störungen zu kodieren, die nicht die Kriterien für Schizophrenie (F20.-), für anhaltende wahnhafte Störungen (F22.-), für akute vorübergehende psychotische Störungen (F23.-), für psychotische Formen der manischen Episode (F30.2) oder für eine schwere depressive Episode (F32.3) erfüllen. Chronisch halluzinatorische Psychose"
F29,Nicht näher bezeichnete nichtorganische Psychose Psychose o.n.A.
F30,"Manische Episode Alle Untergruppen dieser Kategorie dürfen nur für eine einzelne Episode verwendet werden. Hypomanische oder manische Episoden bei Betroffenen, die früher eine oder mehrere affektive (depressive, hypomanische, manische oder gemischte) Episoden hatten, sind unter bipolarer affektiver Störung (F31.-) zu klassifizieren. Bipolare Störung, einzelne manische Episode Hypomanie Eine Störung, charakterisiert durch eine anhaltende, leicht gehobene Stimmung, gesteigerten Antrieb und Aktivität und in der Regel auch ein auffallendes Gefühl von Wohlbefinden und körperlicher und seelischer Leistungsfähigkeit. Gesteigerte Geselligkeit, Gesprächigkeit, übermäßige Vertraulichkeit, gesteigerte Libido und vermindertes Schlafbedürfnis sind häufig vorhanden, aber nicht in dem Ausmaß, dass sie zu einem Abbruch der Berufstätigkeit oder zu sozialer Ablehnung führen. Reizbarkeit, Selbstüberschätzung und flegelhaftes Verhalten können an die Stelle der häufigen euphorischen Geselligkeit treten. Die Störungen der Stimmung und des Verhaltens werden nicht von Halluzinationen oder Wahn begleitet. Manie ohne psychotische Symptome Die Stimmung ist situationsinadäquat gehoben und kann zwischen sorgloser Heiterkeit und fast unkontrollierbarer Erregung schwanken. Die gehobene Stimmung ist mit vermehrtem Antrieb verbunden, dies führt zu Überaktivität, Rededrang und vermindertem Schlafbedürfnis. Die Aufmerksamkeit kann nicht mehr aufrechterhalten werden, es kommt oft zu starker Ablenkbarkeit. Die Selbsteinschätzung ist mit Größenideen oder übertriebenem Optimismus häufig weit überhöht. Der Verlust normaler sozialer Hemmungen kann zu einem leichtsinnigen, rücksichtslosen oder in Bezug auf die Umstände unpassenden und persönlichkeitsfremden Verhalten führen. Manie mit psychotischen Symptomen Zusätzlich zu dem unter F30.1 beschriebenen klinischen Bild treten Wahn (zumeist Größenwahn) oder Halluzinationen (zumeist Stimmen, die unmittelbar zum Betroffenen sprechen) auf. Die Erregung, die ausgeprägte körperliche Aktivität und die Ideenflucht können so extrem sein, dass der Betroffene für eine normale Kommunikation unzugänglich wird. Manie mit parathymen psychotischen Symptomen Manie mit synthymen psychotischen Symptomen Manischer Stupor Sonstige manische Episoden Manische Episode, nicht näher bezeichnet Manie o.n.A."
F31,"Bipolare affektive Störung Hierbei handelt es sich um eine Störung, die durch wenigstens zwei Episoden charakterisiert ist, in denen Stimmung und Aktivitätsniveau des Betroffenen deutlich gestört sind. Diese Störung besteht einmal in gehobener Stimmung, vermehrtem Antrieb und Aktivität (Hypomanie oder Manie), dann wieder in einer Stimmungssenkung und vermindertem Antrieb und Aktivität (Depression). Wiederholte hypomanische oder manische Episoden sind ebenfalls als bipolar zu klassifizieren. Manisch-depressiv: Krankheit Manisch-depressiv: Psychose Manisch-depressiv: Reaktion Bipolare affektive Störung, gegenwärtig hypomanische Episode Der betroffene Patient ist gegenwärtig hypomanisch (siehe F30.0) und hatte wenigstens eine weitere affektive Episode (hypomanisch, manisch, depressiv oder gemischt) in der Anamnese. Bipolare affektive Störung, gegenwärtig manische Episode ohne psychotische Symptome Der betroffene Patient ist gegenwärtig manisch, ohne psychotische Symptome (siehe F30.1) und hatte wenigstens eine weitere affektive Episode (hypomanisch, manisch, depressiv oder gemischt) in der Anamnese. Bipolare affektive Störung, gegenwärtig manische Episode mit psychotischen Symptomen Der betroffene Patient ist gegenwärtig manisch, mit psychotischen Symptomen (F30.2) und hatte wenigstens eine weitere affektive Episode (hypomanisch, manisch, depressiv oder gemischt) in der Anamnese. Bipolare affektive Störung, gegenwärtig leichte oder mittelgradige depressive Episode Der betroffene Patient ist gegenwärtig depressiv, wie bei einer leichten oder mittelgradigen depressiven Episode (siehe F32.0 oder F32.1) und hatte wenigstens eine eindeutig diagnostizierte hypomanische, manische oder gemischte Episode in der Anamnese. Bipolare affektive Störung, gegenwärtig schwere depressive Episode ohne psychotische Symptome Der betroffene Patient ist gegenwärtig depressiv, wie bei einer schweren depressiven Episode ohne psychotische Symptome (siehe F32.2) und hatte wenigstens eine eindeutig diagnostizierte hypomanische, manische oder gemischte Episode in der Anamnese. Bipolare affektive Störung, gegenwärtig schwere depressive Episode mit psychotischen Symptomen Der betroffene Patient ist gegenwärtig depressiv, wie bei einer schweren depressiven Episode mit psychotischen Symptomen (siehe F32.3) und hatte wenigstens eine eindeutig diagnostizierte hypomanische, manische oder gemischte Episode in der Anamnese. Bipolare affektive Störung, gegenwärtig gemischte Episode Der betroffene Patient hatte wenigstens eine eindeutig diagnostizierte hypomanische, manische, depressive oder gemischte affektive Episode in der Anamnese und zeigt gegenwärtig entweder eine Kombination oder einen raschen Wechsel von manischen und depressiven Symptomen. Bipolare affektive Störung, gegenwärtig remittiert Der betroffene Patient hatte wenigstens eine eindeutig diagnostizierte hypomanische, manische oder gemischte affektive Episode und wenigstens eine weitere affektive Episode (hypomanisch, manisch, depressiv oder gemischt) in der Anamnese; in den letzten Monaten und gegenwärtig besteht keine deutliche Störung der Stimmung. Auch Remissionen während einer prophylaktischen Behandlung sollen hier kodiert werden. Sonstige bipolare affektive Störungen Bipolar-II-Störung Rezidivierende manische Episoden o.n.A. Bipolare affektive Störung, nicht näher bezeichnet"
F32,"Depressive Episode Bei den typischen leichten (F32.0), mittelgradigen (F32.1) oder schweren (F32.2 und F32.3) Episoden leidet der betroffene Patient unter einer gedrückten Stimmung und einer Verminderung von Antrieb und Aktivität. Die Fähigkeit zu Freude, das Interesse und die Konzentration sind vermindert. Ausgeprägte Müdigkeit kann nach jeder kleinsten Anstrengung auftreten. Der Schlaf ist meist gestört, der Appetit vermindert. Selbstwertgefühl und Selbstvertrauen sind fast immer beeinträchtigt. Sogar bei der leichten Form kommen Schuldgefühle oder Gedanken über eigene Wertlosigkeit vor. Die gedrückte Stimmung verändert sich von Tag zu Tag wenig, reagiert nicht auf Lebensumstände und kann von so genannten ""somatischen"" Symptomen begleitet werden, wie Interessenverlust oder Verlust der Freude, Früherwachen, Morgentief, deutliche psychomotorische Hemmung, Agitiertheit, Appetitverlust, Gewichtsverlust und Libidoverlust. Abhängig von Anzahl und Schwere der Symptome ist eine depressive Episode als leicht, mittelgradig oder schwer zu bezeichnen. Einzelne Episoden von: depressiver Reaktion Einzelne Episoden von: psychogener Depression Einzelne Episoden von: reaktiver Depression (F32.0, F32.1, F32.2) Leichte depressive Episode Gewöhnlich sind mindestens zwei oder drei der oben angegebenen Symptome vorhanden. Der betroffene Patient ist im Allgemeinen davon beeinträchtigt, aber oft in der Lage, die meisten Aktivitäten fortzusetzen. Mittelgradige depressive Episode Gewöhnlich sind vier oder mehr der oben angegebenen Symptome vorhanden, und der betroffene Patient hat meist große Schwierigkeiten, alltägliche Aktivitäten fortzusetzen. Schwere depressive Episode ohne psychotische Symptome Eine depressive Episode mit mehreren oben angegebenen, quälenden Symptomen. Typischerweise bestehen ein Verlust des Selbstwertgefühls und Gefühle von Wertlosigkeit und Schuld. Suizidgedanken und -handlungen sind häufig, und meist liegen einige somatische Symptome vor. Einzelne Episode einer agitierten Depression Einzelne Episode einer majoren Depression [major depression] ohne psychotische Symptome Einzelne Episode einer vitalen Depression ohne psychotische Symptome Schwere depressive Episode mit psychotischen Symptomen Eine schwere depressive Episode, wie unter F32.2 beschrieben, bei der aber Halluzinationen, Wahnideen, psychomotorische Hemmung oder ein Stupor so schwer ausgeprägt sind, dass alltägliche soziale Aktivitäten unmöglich sind und Lebensgefahr durch Suizid und mangelhafte Flüssigkeits- und Nahrungsaufnahme bestehen kann. Halluzinationen und Wahn können, müssen aber nicht, synthym sein. Einzelne Episoden: majore Depression [major depression] mit psychotischen Symptomen Einzelne Episoden: psychogene depressive Psychose Einzelne Episoden: psychotische Depression Einzelne Episoden: reaktive depressive Psychose Sonstige depressive Episoden Atypische Depression Einzelne Episoden der ""larvierten"" Depression o.n.A. Depressive Episode, nicht näher bezeichnet Depression o.n.A. Depressive Störung o.n.A."
F33,"Rezidivierende depressive Störung Hierbei handelt es sich um eine Störung, die durch wiederholte depressive Episoden (F32.-) charakterisiert ist. In der Anamnese finden sich dabei keine unabhängigen Episoden mit gehobener Stimmung und vermehrtem Antrieb (Manie). Kurze Episoden von leicht gehobener Stimmung und Überaktivität (Hypomanie) können allerdings unmittelbar nach einer depressiven Episode, manchmal durch eine antidepressive Behandlung mitbedingt, aufgetreten sein. Die schwereren Formen der rezidivierenden depressiven Störung (F33.2 und .3) haben viel mit den früheren Konzepten der manisch-depressiven Krankheit, der Melancholie, der vitalen Depression und der endogenen Depression gemeinsam. Die erste Episode kann in jedem Alter zwischen Kindheit und Senium auftreten, der Beginn kann akut oder schleichend sein, die Dauer reicht von wenigen Wochen bis zu vielen Monaten. Das Risiko, dass ein Patient mit rezidivierender depressiver Störung eine manische Episode entwickelt, wird niemals vollständig aufgehoben, gleichgültig, wie viele depressive Episoden aufgetreten sind. Bei Auftreten einer manischen Episode ist die Diagnose in bipolare affektive Störung zu ändern (F31.-). Rezidivierende Episoden (F33.0 oder F33.1): depressive Reaktion Rezidivierende Episoden (F33.0 oder F33.1): psychogene Depression Rezidivierende Episoden (F33.0 oder F33.1): reaktive Depression Saisonale depressive Störung Rezidivierende depressive Störung, gegenwärtig leichte Episode Eine Störung, die durch wiederholte depressive Episoden gekennzeichnet ist, wobei die gegenwärtige Episode leicht ist (siehe F32.0), ohne Manie in der Anamnese. Rezidivierende depressive Störung, gegenwärtig mittelgradige Episode Eine Störung, die durch wiederholte depressive Episoden gekennzeichnet ist, wobei die gegenwärtige Episode mittelgradig ist (siehe F32.1), ohne Manie in der Anamnese. Rezidivierende depressive Störung, gegenwärtig schwere Episode ohne psychotische Symptome Eine Störung, die durch wiederholte depressive Episoden gekennzeichnet ist, wobei die gegenwärtige Episode schwer ist, ohne psychotische Symptome (siehe F32.2) und ohne Manie in der Anamnese. Endogene Depression ohne psychotische Symptome Manisch-depressive Psychose, depressive Form, ohne psychotische Symptome Rezidivierende majore Depression [major depression], ohne psychotische Symptome Rezidivierende vitale Depression, ohne psychotische Symptome Rezidivierende depressive Störung, gegenwärtig schwere Episode mit psychotischen Symptomen Eine Störung, die durch wiederholte depressive Episoden gekennzeichnet ist; die gegenwärtige Episode ist schwer, mit psychotischen Symptomen (siehe F32.3), ohne vorhergehende manische Episoden. Endogene Depression mit psychotischen Symptomen Manisch-depressive Psychose, depressive Form, mit psychotischen Symptomen Rezidivierende schwere Episoden: majore Depression [major depression] mit psychotischen Symptomen Rezidivierende schwere Episoden: psychogene depressive Psychose Rezidivierende schwere Episoden: psychotische Depression Rezidivierende schwere Episoden: reaktive depressive Psychose Rezidivierende depressive Störung, gegenwärtig remittiert Die Kriterien für eine der oben beschriebenen Störungen F33.0-F33.3 sind in der Anamnese erfüllt, aber in den letzten Monaten bestehen keine depressiven Symptome. Sonstige rezidivierende depressive Störungen Rezidivierende depressive Störung, nicht näher bezeichnet Monopolare Depression o.n.A."
F34,"Anhaltende affektive Störungen Hierbei handelt es sich um anhaltende und meist fluktuierende Stimmungsstörungen, bei denen die Mehrzahl der einzelnen Episoden nicht ausreichend schwer genug sind, um als hypomanische oder auch nur leichte depressive Episoden gelten zu können. Da sie jahrelang, manchmal den größeren Teil des Erwachsenenlebens, andauern, ziehen sie beträchtliches subjektives Leiden und Beeinträchtigungen nach sich. Gelegentlich können rezidivierende oder einzelne manische oder depressive Episoden eine anhaltende affektive Störung überlagern. Zyklothymia Hierbei handelt es sich um eine andauernde Instabilität der Stimmung mit zahlreichen Perioden von Depression und leicht gehobener Stimmung (Hypomanie), von denen aber keine ausreichend schwer und anhaltend genug ist, um die Kriterien für eine bipolare affektive Störung (F31.-) oder rezidivierende depressive Störung (F33.-) zu erfüllen. Diese Störung kommt häufig bei Verwandten von Patienten mit bipolarer affektiver Störung vor. Einige Patienten mit Zyklothymia entwickeln schließlich selbst eine bipolare affektive Störung. Affektive Persönlichkeit(sstörung) Zykloide Persönlichkeit Zyklothyme Persönlichkeit Dysthymia Hierbei handelt es sich um eine chronische, wenigstens mehrere Jahre andauernde depressive Verstimmung, die weder schwer noch hinsichtlich einzelner Episoden anhaltend genug ist, um die Kriterien einer schweren, mittelgradigen oder leichten rezidivierenden depressiven Störung (F33.-) zu erfüllen. Anhaltende ängstliche Depression Depressiv: Neurose Depressiv: Persönlichkeit(sstörung) Neurotische Depression Sonstige anhaltende affektive Störungen Anhaltende affektive Störung, nicht näher bezeichnet"
F38,"Andere affektive Störungen Hierbei handelt es sich um eine Restkategorie für Stimmungsstörungen, die die Kriterien der oben genannten Kategorien F30-F34 in Bezug auf Ausprägung und Dauer nicht erfüllen. Andere einzelne affektive Störungen Gemischte affektive Episode Andere rezidivierende affektive Störungen Rezidivierende kurze depressive Episoden Sonstige näher bezeichnete affektive Störungen"
F39,Nicht näher bezeichnete affektive Störung Affektive Psychose o.n.A.
F40,"Phobische Störungen Eine Gruppe von Störungen, bei der Angst ausschließlich oder überwiegend durch eindeutig definierte, eigentlich ungefährliche Situationen hervorgerufen wird. In der Folge werden diese Situationen typischerweise vermieden oder mit Furcht ertragen. Die Befürchtungen des Patienten können sich auf Einzelsymptome wie Herzklopfen oder Schwächegefühl beziehen, häufig gemeinsam mit sekundären Ängsten vor dem Sterben, Kontrollverlust oder dem Gefühl, wahnsinnig zu werden. Allein die Vorstellung, dass die phobische Situation eintreten könnte, erzeugt meist schon Erwartungsangst. Phobische Angst tritt häufig gleichzeitig mit Depression auf. Ob zwei Diagnosen, phobische Störung und depressive Episode, erforderlich sind, richtet sich nach dem zeitlichen Verlauf beider Zustandsbilder und nach therapeutischen Erwägungen zum Zeitpunkt der Konsultation. Agoraphobie Eine relativ gut definierte Gruppe von Phobien, mit Befürchtungen, das Haus zu verlassen, Geschäfte zu betreten, in Menschenmengen und auf öffentlichen Plätzen zu sein, alleine mit Bahn, Bus oder Flugzeug zu reisen. Eine Panikstörung kommt als häufiges Merkmal bei gegenwärtigen oder zurückliegenden Episoden vor. Depressive und zwanghafte Symptome sowie soziale Phobien sind als zusätzliche Merkmale gleichfalls häufig vorhanden. Die Vermeidung der phobischen Situation steht oft im Vordergrund, und einige Agoraphobiker erleben nur wenig Angst, da sie die phobischen Situationen meiden können. Soziale Phobien Furcht vor prüfender Betrachtung durch andere Menschen, die zu Vermeidung sozialer Situationen führt. Umfassendere soziale Phobien sind in der Regel mit niedrigem Selbstwertgefühl und Furcht vor Kritik verbunden. Sie können sich in Beschwerden wie Erröten, Händezittern, Übelkeit oder Drang zum Wasserlassen äußern. Dabei meint die betreffende Person manchmal, dass eine dieser sekundären Manifestationen der Angst das primäre Problem darstellt. Die Symptome können sich bis zu Panikattacken steigern. Anthropophobie Soziale Neurose Spezifische (isolierte) Phobien Phobien, die auf eng umschriebene Situationen wie Nähe von bestimmten Tieren, Höhen, Donner, Dunkelheit, Fliegen, geschlossene Räume, Urinieren oder Defäkieren auf öffentlichen Toiletten, Genuss bestimmter Speisen, Zahnarztbesuch oder auf den Anblick von Blut oder Verletzungen beschränkt sind. Obwohl die auslösende Situation streng begrenzt ist, kann sie Panikzustände wie bei Agoraphobie oder sozialer Phobie hervorrufen. Akrophobie Einfache Phobie Klaustrophobie Tierphobien Sonstige phobische Störungen Phobische Störung, nicht näher bezeichnet Phobie o.n.A. Phobischer Zustand o.n.A."
F41,"Andere Angststörungen Bei diesen Störungen stellen Manifestationen der Angst die Hauptsymptome dar, ohne auf eine bestimmte Umgebungssituation bezogen zu sein. Depressive und Zwangssymptome, sogar einige Elemente phobischer Angst können vorhanden sein, vorausgesetzt, sie sind eindeutig sekundär oder weniger ausgeprägt. Panikstörung [episodisch paroxysmale Angst] Das wesentliche Kennzeichen sind wiederkehrende schwere Angstattacken (Panik), die sich nicht auf eine spezifische Situation oder besondere Umstände beschränken und deshalb auch nicht vorhersehbar sind. Wie bei anderen Angsterkrankungen zählen zu den wesentlichen Symptomen plötzlich auftretendes Herzklopfen, Brustschmerz, Erstickungsgefühle, Schwindel und Entfremdungsgefühle (Depersonalisation oder Derealisation). Oft entsteht sekundär auch die Furcht zu sterben, vor Kontrollverlust oder die Angst, wahnsinnig zu werden. Die Panikstörung soll nicht als Hauptdiagnose verwendet werden, wenn der Betroffene bei Beginn der Panikattacken an einer depressiven Störung leidet. Unter diesen Umständen sind die Panikattacken wahrscheinlich sekundäre Folge der Depression. Panikattacke Panikzustand Generalisierte Angststörung Die Angst ist generalisiert und anhaltend. Sie ist nicht auf bestimmte Umgebungsbedingungen beschränkt, oder auch nur besonders betont in solchen Situationen, sie ist vielmehr ""frei flottierend"". Die wesentlichen Symptome sind variabel, Beschwerden wie ständige Nervosität, Zittern, Muskelspannung, Schwitzen, Benommenheit, Herzklopfen, Schwindelgefühle oder Oberbauchbeschwerden gehören zu diesem Bild. Häufig wird die Befürchtung geäußert, der Patient selbst oder ein Angehöriger könnten demnächst erkranken oder einen Unfall haben. Angstneurose Angstreaktion Angstzustand Angst und depressive Störung, gemischt Diese Kategorie soll bei gleichzeitigem Bestehen von Angst und Depression Verwendung finden, jedoch nur, wenn keine der beiden Störungen eindeutig vorherrscht und keine für sich genommen eine eigenständige Diagnose rechtfertigt. Treten ängstliche und depressive Symptome in so starker Ausprägung auf, dass sie einzelne Diagnosen rechtfertigen, sollen beide Diagnosen gestellt und auf diese Kategorie verzichtet werden. Ängstliche Depression (leicht oder nicht anhaltend) Andere gemischte Angststörungen Angstsymptome gemischt mit Merkmalen anderer Störungen in F42-F48. Kein Symptom ist allein schwer genug um die Diagnose einer anderen Störung zu stellen. Sonstige spezifische Angststörungen Angsthysterie Angststörung, nicht näher bezeichnet Angst o.n.A."
F42,"Zwangsstörung Wesentliche Kennzeichen sind wiederkehrende Zwangsgedanken und Zwangshandlungen. Zwangsgedanken sind Ideen, Vorstellungen oder Impulse, die den Patienten immer wieder stereotyp beschäftigen. Sie sind fast immer quälend, der Patient versucht häufig erfolglos, Widerstand zu leisten. Die Gedanken werden als zur eigenen Person gehörig erlebt, selbst wenn sie als unwillkürlich und häufig abstoßend empfunden werden. Zwangshandlungen oder -rituale sind Stereotypien, die ständig wiederholt werden. Sie werden weder als angenehm empfunden, noch dienen sie dazu, an sich nützliche Aufgaben zu erfüllen. Der Patient erlebt sie oft als Vorbeugung gegen ein objektiv unwahrscheinliches Ereignis, das ihm Schaden bringen oder bei dem er selbst Unheil anrichten könnte. Im Allgemeinen wird dieses Verhalten als sinnlos und ineffektiv erlebt, es wird immer wieder versucht, dagegen anzugehen. Angst ist meist ständig vorhanden. Werden Zwangshandlungen unterdrückt, verstärkt sich die Angst deutlich. Anankastische Neurose Zwangsneurose Vorwiegend Zwangsgedanken oder Grübelzwang Diese können die Form von zwanghaften Ideen, bildhaften Vorstellungen oder Zwangsimpulsen annehmen, die fast immer für die betreffende Person quälend sind. Manchmal sind diese Ideen eine endlose Überlegung unwägbarer Alternativen, häufig verbunden mit der Unfähigkeit, einfache, aber notwendige Entscheidungen des täglichen Lebens zu treffen. Die Beziehung zwischen Grübelzwängen und Depression ist besonders eng. Eine Zwangsstörung ist nur dann zu diagnostizieren, wenn der Grübelzwang nicht während einer depressiven Episode auftritt und anhält. Vorwiegend Zwangshandlungen [Zwangsrituale] Die meisten Zwangshandlungen beziehen sich auf Reinlichkeit (besonders Händewaschen), wiederholte Kontrollen, die garantieren, dass sich eine möglicherweise gefährliche Situation nicht entwickeln kann oder übertriebene Ordnung und Sauberkeit. Diesem Verhalten liegt die Furcht vor einer Gefahr zugrunde, die den Patienten bedroht oder von ihm ausgeht; das Ritual ist ein wirkungsloser oder symbolischer Versuch, diese Gefahr abzuwenden. Zwangsgedanken und -handlungen, gemischt Sonstige Zwangsstörungen Zwangsstörung, nicht näher bezeichnet"
F43,"Reaktionen auf schwere Belastungen und Anpassungsstörungen Die Störungen dieses Abschnittes unterscheiden sich von den übrigen nicht nur aufgrund der Symptomatologie und des Verlaufs, sondern auch durch die Angabe von ein oder zwei ursächlichen Faktoren: ein außergewöhnlich belastendes Lebensereignis, das eine akute Belastungsreaktion hervorruft, oder eine besondere Veränderung im Leben, die zu einer anhaltend unangenehmen Situation geführt hat und eine Anpassungsstörung hervorruft. Obwohl weniger schwere psychosoziale Belastungen (""life events"") den Beginn und das Erscheinungsbild auch zahlreicher anderer Störungen dieses Kapitels auslösen und beeinflussen können, ist ihre ätiologische Bedeutung doch nicht immer ganz klar. In jedem Fall hängt sie zusammen mit der individuellen, häufig idiosynkratischen Vulnerabilität, das heißt, die Lebensereignisse sind weder notwendig noch ausreichend, um das Auftreten und die Art der Krankheit zu erklären. Im Gegensatz dazu entstehen die hier aufgeführten Störungen immer als direkte Folge der akuten schweren Belastung oder des kontinuierlichen Traumas. Das belastende Ereignis oder die andauernden, unangenehmen Umstände sind primäre und ausschlaggebende Kausalfaktoren, und die Störung wäre ohne ihre Einwirkung nicht entstanden. Die Störungen dieses Abschnittes können insofern als Anpassungsstörungen bei schwerer oder kontinuierlicher Belastung angesehen werden, als sie erfolgreiche Bewältigungsstrategien behindern und aus diesem Grunde zu Problemen der sozialen Funktionsfähigkeit führen. Akute Belastungsreaktion Eine vorübergehende Störung, die sich bei einem psychisch nicht manifest gestörten Menschen als Reaktion auf eine außergewöhnliche physische oder psychische Belastung entwickelt, und die im Allgemeinen innerhalb von Stunden oder Tagen abklingt. Die individuelle Vulnerabilität und die zur Verfügung stehenden Bewältigungsmechanismen (Coping-Strategien) spielen bei Auftreten und Schweregrad der akuten Belastungsreaktionen eine Rolle. Die Symptomatik zeigt typischerweise ein gemischtes und wechselndes Bild, beginnend mit einer Art von ""Betäubung"", mit einer gewissen Bewusstseinseinengung und eingeschränkten Aufmerksamkeit, einer Unfähigkeit, Reize zu verarbeiten und Desorientiertheit. Diesem Zustand kann ein weiteres Sichzurückziehen aus der Umweltsituation folgen (bis hin zu dissoziativem Stupor, siehe F44.2) oder aber ein Unruhezustand und Überaktivität (wie Fluchtreaktion oder Fugue). Vegetative Zeichen panischer Angst wie Tachykardie, Schwitzen und Erröten treten zumeist auf. Die Symptome erscheinen im Allgemeinen innerhalb von Minuten nach dem belastenden Ereignis und gehen innerhalb von zwei oder drei Tagen, oft innerhalb von Stunden zurück. Teilweise oder vollständige Amnesie (siehe F44.0) bezüglich dieser Episode kann vorkommen. Wenn die Symptome andauern, sollte eine Änderung der Diagnose in Erwägung gezogen werden. Akut: Belastungsreaktion Akut: Krisenreaktion Kriegsneurose Krisenzustand Psychischer Schock Posttraumatische Belastungsstörung Diese entsteht als eine verzögerte oder protrahierte Reaktion auf ein belastendes Ereignis oder eine Situation kürzerer oder längerer Dauer, mit außergewöhnlicher Bedrohung oder katastrophenartigem Ausmaß, die bei fast jedem eine tiefe Verzweiflung hervorrufen würde. Prädisponierende Faktoren wie bestimmte, z.B. zwanghafte oder asthenische Persönlichkeitszüge oder neurotische Krankheiten in der Vorgeschichte können die Schwelle für die Entwicklung dieses Syndroms senken und seinen Verlauf erschweren, aber die letztgenannten Faktoren sind weder notwendig noch ausreichend, um das Auftreten der Störung zu erklären. Typische Merkmale sind das wiederholte Erleben des Traumas in sich aufdrängenden Erinnerungen (Nachhallerinnerungen, Flashbacks), Träumen oder Albträumen, die vor dem Hintergrund eines andauernden Gefühls von Betäubtsein und emotionaler Stumpfheit auftreten. Ferner finden sich Gleichgültigkeit gegenüber anderen Menschen, Teilnahmslosigkeit der Umgebung gegenüber, Freudlosigkeit sowie Vermeidung von Aktivitäten und Situationen, die Erinnerungen an das Trauma wachrufen könnten. Meist tritt ein Zustand von vegetativer Übererregtheit mit Vigilanzsteigerung, einer übermäßigen Schreckhaftigkeit und Schlafstörung auf. Angst und Depression sind häufig mit den genannten Symptomen und Merkmalen assoziiert und Suizidgedanken sind nicht selten. Der Beginn folgt dem Trauma mit einer Latenz, die wenige Wochen bis Monate dauern kann. Der Verlauf ist wechselhaft, in der Mehrzahl der Fälle kann jedoch eine Heilung erwartet werden. In wenigen Fällen nimmt die Störung über viele Jahre einen chronischen Verlauf und geht dann in eine andauernde Persönlichkeitsänderung (F62.0) über. Traumatische Neurose Anpassungsstörungen Hierbei handelt es sich um Zustände von subjektiver Bedrängnis und emotionaler Beeinträchtigung, die im Allgemeinen soziale Funktionen und Leistungen behindern und während des Anpassungsprozesses nach einer entscheidenden Lebensveränderung oder nach belastenden Lebensereignissen auftreten. Die Belastung kann das soziale Netz des Betroffenen beschädigt haben (wie bei einem Trauerfall oder Trennungserlebnissen) oder das weitere Umfeld sozialer Unterstützung oder soziale Werte (wie bei Emigration oder nach Flucht). Sie kann auch in einem größeren Entwicklungsschritt oder einer Krise bestehen (wie Schulbesuch, Elternschaft, Misserfolg, Erreichen eines ersehnten Zieles und Ruhestand). Die individuelle Prädisposition oder Vulnerabilität spielt bei dem möglichen Auftreten und bei der Form der Anpassungsstörung eine bedeutsame Rolle; es ist aber dennoch davon auszugehen, dass das Krankheitsbild ohne die Belastung nicht entstanden wäre. Die Anzeichen sind unterschiedlich und umfassen depressive Stimmung, Angst oder Sorge (oder eine Mischung von diesen). Außerdem kann ein Gefühl bestehen, mit den alltäglichen Gegebenheiten nicht zurechtzukommen, diese nicht vorausplanen oder fortsetzen zu können. Störungen des Sozialverhaltens können insbesondere bei Jugendlichen ein zusätzliches Symptom sein. Hervorstechendes Merkmal kann eine kurze oder längere depressive Reaktion oder eine Störung anderer Gefühle und des Sozialverhaltens sein. Hospitalismus bei Kindern Kulturschock Trauerreaktion Sonstige Reaktionen auf schwere Belastung Reaktion auf schwere Belastung, nicht näher bezeichnet"
